topic,count,default_name,year_min,year_max,top_documents
32,16,32_whip_says_massr_bout,1810,1893,"The Kidnapped and the Ransomed. Recollections of Peter Still and His Wife ""Vina,"" after Forty Years of Slavery. (Kate E. R. Pickard): 8 | The Blind African Slave, or Memoirs of Boyrereau Brinch, Nick-named Jeffrey Brace. Containing an Account of the Kingdom of Bow-Woo, in the Interior of Africa; with the Climate and Natural Productions, Laws, and Customs Peculiar to That Place. With an Account of His Captivity, Sufferings, Sales, Travels, Emancipation, Conversion to the Christian Religion, Knowledge of the Scriptures, &amp;c. Interspersed with Strictures on Slavery, Speculative Observations on the Qualities of Human Nature, with Quotation from Scripture (Boyrereau  Brinch): 3 | Narratives of the Sufferings of Lewis and Milton Clarke, Sons of a Soldier of the Revolution, During a Captivity of More than Twenty Years Among the Slaveholders of Kentucky, One of the So-Called Christian States of North America (Lewis Garrard Clarke): 2 | Life of Isaac Mason as a Slave (Isaac  Mason): 1 | From Slavery to a Bishopric, or, The Life of Bishop Walter Hawkins of the British Methodist Episcopal Church Canada (S. J. Celestine Edwards): 1"
33,16,33_run away_walter_fellow_boat,1846,1902,"Narratives of the Sufferings of Lewis and Milton Clarke, Sons of a Soldier of the Revolution, During a Captivity of More than Twenty Years Among the Slaveholders of Kentucky, One of the So-Called Christian States of North America (Lewis Garrard Clarke): 4 | From Slavery to a Bishopric, or, The Life of Bishop Walter Hawkins of the British Methodist Episcopal Church Canada (S. J. Celestine Edwards): 4 | The Kidnapped and the Ransomed. Recollections of Peter Still and His Wife ""Vina,"" after Forty Years of Slavery. (Kate E. R. Pickard): 3 | The American Fugitive in Europe. Sketches of Places and People Abroad (William Wells Brown): 2 | The Black Man: His Antecedents, His Genius, and His Achievements (William Wells Brown): 1"
34,15,34_gin_engine_plant_charley,1917,1917,"From Slavery to Wealth. The Life of Scott Bond.  The Rewards of Honesty, Industry, Economy and Perseverance (Dan. A. Rudd): 15"
35,15,35_africa_tree_tribe_coffee,1810,1917,"Biographical Sketches and Interesting Anecdotes of Persons of Colour. To Which is Added, a Selection of Pieces in Poetry (Abigail  Mott): 3 | Last of the Pioneers: Or, Old Times in East Tenn., Being the Life and Reminiscences of Pharaoh Jackson Chesney (Aged 120 Years) (Pharaoh Jackson Chesney): 3 | The Blind African Slave, or Memoirs of Boyrereau Brinch, Nick-named Jeffrey Brace. Containing an Account of the Kingdom of Bow-Woo, in the Interior of Africa; with the Climate and Natural Productions, Laws, and Customs Peculiar to That Place. With an Account of His Captivity, Sufferings, Sales, Travels, Emancipation, Conversion to the Christian Religion, Knowledge of the Scriptures, &amp;c. Interspersed with Strictures on Slavery, Speculative Observations on the Qualities of Human Nature, with Quotation from Scripture (Boyrereau  Brinch): 2 | Narratives of Colored Americans (Abigail  Mott): 2 | From Slavery to Wealth. The Life of Scott Bond.  The Rewards of Honesty, Industry, Economy and Perseverance (Dan. A. Rudd): 2"
36,14,36_vina_baby_cabin_week,1856,1909,"The Kidnapped and the Ransomed. Recollections of Peter Still and His Wife ""Vina,"" after Forty Years of Slavery. (Kate E. R. Pickard): 10 | Memories of Childhood's Slavery Days (Annie L. Burton): 3 | Life of Isaac Mason as a Slave (Isaac  Mason): 1"
37,14,37_indian_battle_florida_war,1810,1929,"The Colored Patriots of the American Revolution: With Sketches of Several Distinguished Colored Persons: To Which is Added a Brief Survey of the Condition and Prospects of Colored Americans (William Cooper Nell): 7 | The Kidnapped and the Ransomed. Recollections of Peter Still and His Wife ""Vina,"" after Forty Years of Slavery. (Kate E. R. Pickard): 2 | My Life and Travels (Levi  Branham): 1 | The Blind African Slave, or Memoirs of Boyrereau Brinch, Nick-named Jeffrey Brace. Containing an Account of the Kingdom of Bow-Woo, in the Interior of Africa; with the Climate and Natural Productions, Laws, and Customs Peculiar to That Place. With an Account of His Captivity, Sufferings, Sales, Travels, Emancipation, Conversion to the Christian Religion, Knowledge of the Scriptures, &amp;c. Interspersed with Strictures on Slavery, Speculative Observations on the Qualities of Human Nature, with Quotation from Scripture (Boyrereau  Brinch): 1 | From Slavery to a Bishopric, or, The Life of Bishop Walter Hawkins of the British Methodist Episcopal Church Canada (S. J. Celestine Edwards): 1"
38,14,38_speaker_speech_disraeli_cobden,1855,1913,"The American Fugitive in Europe. Sketches of Places and People Abroad (William Wells Brown): 10 | The Black Man: His Antecedents, His Genius, and His Achievements (William Wells Brown): 2 | From Slavery to a Bishopric, or, The Life of Bishop Walter Hawkins of the British Methodist Episcopal Church Canada (S. J. Celestine Edwards): 1 | Reminiscences of School Life, and Hints on Teaching (Fanny Jackson Coppin): 1"
39,14,39_law_lash_law says_moral,1826,1909,"From Slavery to a Bishopric, or, The Life of Bishop Walter Hawkins of the British Methodist Episcopal Church Canada (S. J. Celestine Edwards): 5 | Biographical Sketches and Interesting Anecdotes of Persons of Colour. To Which is Added, a Selection of Pieces in Poetry (Abigail  Mott): 2 | Slavery Illustrated, in the Histories of Zangara and Maquama, Two Negroes Stolen From Africa and Sold Into Slavery. Related by Themselves (  No Author): 2 | Memories of Childhood's Slavery Days (Annie L. Burton): 1 | The American Fugitive in Europe. Sketches of Places and People Abroad (William Wells Brown): 1"
40,14,40_clay_kentucky_whip_overseer,1826,1891,"The Kidnapped and the Ransomed. Recollections of Peter Still and His Wife ""Vina,"" after Forty Years of Slavery. (Kate E. R. Pickard): 5 | Narratives of the Sufferings of Lewis and Milton Clarke, Sons of a Soldier of the Revolution, During a Captivity of More than Twenty Years Among the Slaveholders of Kentucky, One of the So-Called Christian States of North America (Lewis Garrard Clarke): 4 | From Slavery to a Bishopric, or, The Life of Bishop Walter Hawkins of the British Methodist Episcopal Church Canada (S. J. Celestine Edwards): 3 | Narratives of Colored Americans (Abigail  Mott): 1 | Biographical Sketches and Interesting Anecdotes of Persons of Colour. To Which is Added, a Selection of Pieces in Poetry (Abigail  Mott): 1"
41,13,41_yo_ter_joe_mistress,1846,1894,"The Story of a Slave. A Realistic Revelation of a Social Relation of Slave Times--Hitherto Unwritten--From the Pen of One Who Has Felt Both the Lash and the Caress of a Mistress (  No Author): 12 | Narrative of William Hayden, Containing a Faithful Account of His Travels for a Number of Years, Whilst a Slave, in the South. Written by Himself (William  Hayden): 1"
